CompanyID,Name,MovieID,Studio,Num_Workers,CreatedIn
3,Pixar Animation Studios,862,Sony Pictures,7968,1996
559,TriStar Pictures,8844,20th Century Fox,5287,1976
2550,Teitler Film,8844,Paramount,8844,1977
10201,Interscope Communications,8844,20th Century Fox,9605,2015
6194,Warner Bros.,15602,20th Century Fox,4125,1954
19464,Lancaster Gate,15602,Universal Pictures,6212,1940
306,Twentieth Century Fox Film Corporation,31357,Paramount,7686,1984
5842,Sandollar Productions,11862,Paramount,5787,1985
9195,Touchstone Pictures,11862,Paramount,9042,1976
508,Regency Enterprises,949,20th Century Fox,9001,1961
675,Forward Pass,949,Sony Pictures,8052,1962
4,Paramount Pictures,11860,Paramount,7122,1945
258,Scott Rudin Productions,11860,20th Century Fox,1543,1986
932,Mirage Enterprises,11860,Universal Pictures,9056,2007
14941,Constellation Entertainment,11860,Sony Pictures,422,1945
55873,Worldwide,11860,Universal Pictures,5637,1927
58079,Mont Blanc Entertainment GmbH,11860,Sony Pictures,7121,1966
2,Walt Disney Pictures,45325,20th Century Fox,2941,1956
33,Universal Pictures,9091,Warner Bros,6636,1991
21437,Imperial Entertainment,9091,Sony Pictures,7673,2001
23770,Signature Entertainment,9091,Universal Pictures,3369,1937
60,United Artists,710,20th Century Fox,4017,1995
7576,Eon Productions,710,Sony Pictures,872,1955
5,Columbia Pictures,9087,Warner Bros,271,1921
97,Castle Rock Entertainment,9087,Warner Bros,6930,2003
6368,Enigma Pictures,12110,Paramount,9629,1922
56,Amblin Entertainment,21032,Paramount,3938,1953
4105,Amblimation,21032,Universal Pictures,5350,1965
915,Hollywood Pictures,10858,Sony Pictures,3320,1981
1504,Cinergi Pictures Entertainment,10858,Sony Pictures,4743,1989
183,Le Studio Canal+,1408,Paramount,7616,1976
415,Laurence Mark Productions,1408,Sony Pictures,4043,1929
8411,Metro-Goldwyn-Mayer (MGM),1408,Sony Pictures,2648,2007
14723,Carolco Pictures,1408,Warner Bros,1716,1937
10898,Légende Entreprises,524,Paramount,4807,1952
11583,Syalis DA,524,20th Century Fox,1604,1926
11584,De Fina-Cappa,524,Paramount,6165,1964
441,Columbia Pictures Corporation,4584,20th Century Fox,5487,1948
14,Miramax Films,5,Warner Bros,6291,2002
59,A Band Apart,5,Universal Pictures,9322,1957
5682,O Entertainment,9273,Sony Pictures,137,1958
10210,Morgan Creek Productions,9273,Warner Bros,7165,1944
216,Jersey Films,8012,Sony Pictures,2753,1936
10104,New Regency Pictures,1710,Universal Pictures,2468,1980
1885,Silver Pictures,9691,Universal Pictures,4197,1970
5358,Canal+,9691,Warner Bros,1797,1956
10308,Dino De Laurentiis Company,9691,Universal Pictures,8282,1986
23397,Donner/Shuler-Donner Productions,9691,20th Century Fox,88,1943
25061,Evansgideon/Lazar,9691,Universal Pictures,7093,2001
175,Caravan Pictures,12665,Sony Pictures,2201,1968
15547,Intial Productions,451,Sony Pictures,3987,2009
12,New Line Cinema,9263,Sony Pictures,6936,1940
288,BBC Films,17015,Sony Pictures,258,1994
2588,Ministère des Affaires Étrangères,37557,20th Century Fox,649,1976
4507,Alpha Films,37557,Paramount,8846,1960
23647,La Sept Cinéma,37557,Warner Bros,3759,1936
10103,Via Rosa Productions,9909,Sony Pictures,7776,2021
10288,Don Simpson/Jerry Bruckheimer Films,9909,Universal Pictures,263,1940
507,Atlas Entertainment,63,Sony Pictures,5773,1987
17031,Classico,63,Universal Pictures,6602,2015
70801,Iwerks Entertainment,78802,Universal Pictures,9818,2001
2537,Kennedy Miller Productions,9598,Sony Pictures,6288,1983
694,StudioCanal,47018,20th Century Fox,8510,1963
874,Cinéa,47018,Universal Pictures,2458,1947
8363,Euston Films,47018,Universal Pictures,8022,1955
19316,Freeway Films,47018,Sony Pictures,4828,1956
30226,European Co-production Fund,47018,Universal Pictures,872,1963
31080,Polygram Filmed Entertainment,47018,Universal Pictures,6150,1969
44821,Orsans Productions,47018,Sony Pictures,2645,2009
406,Havoc,687,Sony Pictures,8167,1974
1382,PolyGram Filmed Entertainment,687,Warner Bros,4003,2007
10163,Working Title Films,687,20th Century Fox,3881,1929
53390,Sony New Technologies,139405,20th Century Fox,4633,1957
6130,Dualstar Productions,33689,Universal Pictures,6285,1968
11661,Rysher Entertainment,33689,20th Century Fox,8892,1991
89131,Orr & Cruickshank,33689,Universal Pictures,8033,1921
53009,Miramax,34615,Warner Bros,6550,1963
85681,Distant Horizon,34615,Sony Pictures,5901,1954
89840,Alpine Pty Limited,34615,Sony Pictures,1684,1940
871,British Screen,31174,Sony Pictures,4864,1976
34237,Mayfair Entertainment International,31174,20th Century Fox,1217,2010
476,Underworld Entertainment,11443,Warner Bros,4126,1942
4174,Threshold Entertainment,9312,20th Century Fox,8440,1951
364,The Rank Organisation,577,20th Century Fox,7008,2009
4286,Juno Pix,807,Warner Bros,5492,1990
65394,Cecchi Gori Pictures,807,Warner Bros,9597,1952
10217,Walt Disney Feature Animation,10530,Warner Bros,6410,1936
2480,Alliance Communications Corporation,8391,Warner Bros,6749,1991
361,Blue Parrot Productions,629,Sony Pictures,3555,1961
9168,Bad Hat Harry Productions,629,Paramount,852,1936
1030,Magnolia Pictures,11448,Paramount,7677,1967
7832,CiBy 2000,97406,Warner Bros,8942,1967
7320,Telefilm Canada,124057,Paramount,552,2001
10260,Melenny Productions,124057,Paramount,5875,2019
802,Egg Pictures,9089,Warner Bros,7989,1976
862,The Kennedy/Marshall Company,11359,Paramount,6082,1980
916,The Charlie Mopic Company,2054,20th Century Fox,7456,1963
3492,Island Pictures,10607,Universal Pictures,4769,1942
5441,Ivory Way Productions,10607,Universal Pictures,7798,1995
11061,Motion Picture Corporation of America (MPCA),9536,Warner Bros,2920,2006
36390,3 Arts Entertainment,9536,Sony Pictures,4808,1972
38003,Weasel Productions,9536,Warner Bros,6018,1952
82,Renn Productions,4482,Sony Pictures,9660,1975
1614,Les Films Flam,4482,Universal Pictures,1148,1947
3823,TF1 Films Production,4482,Warner Bros,3219,1942
7405,Dimension Films,755,20th Century Fox,432,1982
11705,Los Hooligans Productions,755,Paramount,7840,1926
5841,Castleberg Productions,28387,Sony Pictures,3990,1921
1742,Les Films 13,48750,Paramount,9635,1984
22123,TF1,48750,Paramount,7502,1923
