ActorID,Name,Gender,Role,MovieID,Born_Date
26960,Walter Matthau,2,Max Goldman,15602,1990
10858,Jack Lemmon,2,John Gustafson,15602,1957
1654,Ann-Margret,1,Ariel Gustafson,15602,1951
24366,Sophia Loren,1,Maria Sophia Coletta Ragetti,15602,1997
5851,Daryl Hannah,1,Melanie Gustafson,15602,1967
3656,Burgess Meredith,2,Grandpa Gustafson,15602,1965
14564,Kevin Pollak,2,Jacob Goldman,15602,1964
24701,Steve Martin,2,George Banks,11862,1958
6443,Diane Keaton,1,Nina Banks,11862,1997
17469,Martin Short,2,Franck Eggelhoffer,11862,1956
14769,Kimberly Williams-Paisley,1,Annie Banks-MacKenzie,11862,1993
8979,George Newbern,2,Bryan MacKenzie,11862,1997
14604,Kieran Culkin,0,Matty Banks,11862,1984
2454,BD Wong,2,Howard Weinstein,11862,1955
21022,Peter Michael Goetz,2,John MacKenzie,11862,1987
14048,Kate McGregor-Stewart,1,Joanna MacKenzie,11862,1977
11336,Jane Adams,1,Dr. Megan Eisenberg,11862,1952
7884,Eugene Levy,2,Mr. Habib,11862,1951
16150,Lori Alan,1,Wife Mrs. Habib,11862,1955
13119,Jonathan Taylor Thomas,2,Tom Sawyer,45325,1963
3252,Brad Renfro,2,Huck Finn,45325,1964
21450,Rachael Leigh Cook,1,Becky Thatcher,45325,1982
18354,Michael McShane,2,Muff Potter,45325,1988
1202,Amy Wright,1,Aunt Polly,45325,1951
7716,Eric Schweig,2,Injun Joe,45325,1985
25191,Tamara Mello,1,Townsperson,45325,1962
15734,Leslie Nielsen,2,Count Dracula,12110,1995
18021,Mel Brooks,2,Prof. Abraham Van Helsing,12110,1991
1203,Amy Yasbeck,1,Mina Seward,12110,1994
21010,Peter MacNicol,2,Thomas Renfield,12110,1984
16510,Lysette Anthony,1,Lucy Westenra,12110,1976
9879,Harvey Korman,2,Dr. Jack Seward,12110,1964
24771,Steven Weber,2,Jonathan Harker,12110,1978
17249,Mark Blankfield,2,Martin,12110,1987
17982,Megan Cavanagh,1,Essie,12110,1967
9477,Gregg Binkley,2,Woodbridge,12110,2001
1773,Anne Bancroft,1,Madame Ouspenskaya,12110,2005
15376,Laurence Fishburne,2,Othello,16420,1950
10627,Irène Jacob,1,Desdemona,16420,1998
14419,Kenneth Branagh,2,Iago,16420,2001
19407,Nathaniel Parker,2,Cassio,16420,1960
10517,Indra Ové,0,Bianca,16420,1994
18344,Michael Maloney,2,Roderigo,16420,1977
1727,Anna Patrick,1,Emilia,16420,1971
19541,Nicholas Farrell,2,Montano,16420,1967
18408,Michael Sheen,2,Lodovico,16420,1959
10380,Ian McKellen,2,Richard III,31174,1963
1837,Annette Bening,1,Elizabeth,31174,1998
12248,Jim Broadbent,2,The Duke of Buckingham,31174,1971
14965,Kristin Scott Thomas,1,Lady Anne,31174,1956
218,Adrian Dunbar,2,James Tyrrell,31174,1955
16666,Maggie Smith,1,Duchess of York,31174,1974
25673,Tim McInnerny,2,William Catesby,31174,1956
22340,Robert Downey Jr.,2,Earl Rivers,31174,1972
7139,Edward Hardwicke,2,Lord Stanley,31174,2004
19734,Nigel Hawthorne,0,The Duke of Clarence,31174,1972
12252,Jim Carter,2,Lord Hastings,31174,1988
6624,Dominic West,2,The Earl of Richmond,31174,1966
12964,John Wood,2,King Edward IV,31174,2001
22604,Roger Hammond,2,Archbishop Thomas,31174,1952
2954,Bill Paterson,2,Sir Richard Ratcliffe,31174,1996
6725,Donald Sumpter,2,Brackenbury,31174,1979
11131,James Dreyfus,2,1st Subaltern,31174,1984
6357,Derek Lyons,2,Ballroom Dancer (uncredited),31174,1957
20432,Pascale Bussières,0,Camille Baker,8391,1974
21447,Rachael Crawford,1,Petra,8391,1955
10055,Henry Czerny,2,Martin,8391,1985
