directorID,department,gender,movieID,job,name,age,awards
52fe46d29251416c75084b07,Directing,2,16420,Director,Oliver Parker,67,6
52fe44669251416c9100f5a3,Directing,2,31174,Director,Richard Loncraine,59,3
52fe4773c3a36847f81365ef,Directing,2,48750,Director,Claude Lelouch,39,1
52fe470cc3a36847f8120b1d,Directing,2,46785,Director,Jafar Panahi,43,0
52fe4d3c9251416c7513477d,Directing,2,188588,Director,Henry Jaglom,55,1
52fe4735c3a36847f81291bf,Directing,2,47475,Director,Nick Castle,73,2
580cd8b1925141713b00e915,Directing,2,55475,Director,Ángel Muñiz,44,7
52fe43f2c3a368484e007465,Directing,2,20649,Director,Spike Lee,50,0
52fe4846c3a36847f815f50f,Directing,1,52856,Director,Diane Keaton,47,5
52fe471ac3a368484e0b5209,Directing,2,65796,Director,Walter Hill,40,0
52fe43d9c3a368484e001de9,Directing,2,20156,Director,Atom Egoyan,50,1
52fe4571c3a368484e05b4b7,Directing,0,27985,Director,Phillip Borsos,73,0
52fe464ac3a36847f80f6d61,Directing,0,43475,Director,Art Clokey,44,3
52fe461d9251416c7506d919,Directing,2,14819,Director,Steven Brill,38,2
52fe44df9251416c9101fc3b,Directing,2,32631,Director,J. F. Lawton,41,2
52fe47239251416c7508eecf,Directing,2,17402,Director,David Frankel,71,0
52fe46d69251416c910616a9,Directing,2,38722,Director,Gregory Nava,72,0
52fe45cdc3a36847f80db1ff,Directing,2,41478,Director,Mario Van Peebles,41,2
5420cabcc3a36818c3000390,Directing,2,161495,Director,Peter Yates,37,0
52fe4574c3a368484e05bff5,Directing,2,28033,Director,Harold Ramis,49,0
52fe4301c3a36847f80336af,Directing,2,1587,Director,Lasse Hallström,61,0
52fe477ec3a36847f8138c63,Directing,1,48992,Director,Darnell Martin,64,3
52fe463c9251416c75071bdf,Directing,2,15128,Director,Ron Underwood,51,0
52fe44fcc3a368484e042457,Directing,2,26352,Director,Keenen Ivory Wayans,67,0
568080ef9251414d98004821,Directing,2,32502,Director,Wallace Wolodarsky,44,3
52fe4cd9c3a368484e1c99b1,Directing,2,203119,Director,Robert Wuhl,75,1
52fe4d15c3a36847f824db85,Directing,2,171857,Director,Michael Corrente,62,8
52fe46979251416c910594c3,Directing,2,38129,Director,Thomas Schlamme,59,2
52fe46ea9251416c75087b73,Directing,2,16771,Director,Whit Stillman,47,5
52fe44f4c3a368484e040421,Directing,2,26203,Director,Michael Apted,37,0
52fe448dc3a368484e029383,Directing,2,24257,Director,Bruce Brown,52,1
52fe43dec3a368484e002cfb,Directing,2,20239,Director,Rusty Cundieff,40,1
52fe47859251416c7509c769,Directing,2,18551,Director,Steve Kloves,47,2
52fe44a39251416c7503bdff,Directing,0,11934,Director,Joel Coen,56,10
52fe49a2c3a36847f81a480b,Directing,2,59930,Director,Matty Rich,39,3
52fe44929251416c910155b3,Directing,2,31643,Director,Barry Levinson,63,3
52fe45d4c3a36847f80dccbd,Directing,2,41588,Director,Michael Tolkin,46,5
52fe4406c3a368484e00b20b,Directing,2,20967,Director,François Girard,55,8
52fe46049251416c7506a3ab,Directing,1,14587,Director,Gurinder Chadha,52,0
52fe4736c3a36847f81295a1,Directing,2,47507,Director,Mathieu Kassovitz,68,1
52fe44c6c3a368484e03626b,Directing,2,25403,Director,Nanni Moretti,69,1
52fe4aa8c3a368484e1602ed,Directing,1,124304,Director,María Luisa Bemberg,44,1
53add5d80e0a265986002932,Directing,2,278978,Director,Joseph Vilsmaier,61,0
52fe4736c3a36847f8129509,Directing,2,47502,Director,Paul Mazursky,59,1
52fe4565c3a368484e057eef,Directing,2,27768,Director,George Hickenlooper,66,2
52fe49e69251416c910bc801,Directing,2,88030,Director,Mika Kaurismäki,67,1
563f70cb9251414c7000e7c2,Directing,0,185191,Director,Claude Chabrol,62,5
52fe45069251416c91024f07,Directing,2,33245,Director,Randal Kleiser,37,0
52fe471fc3a36847f8124a25,Directing,2,47119,Director,Maurice Pialat,58,1
52fe4449c3a368484e01a753,Directing,2,22621,Director,James Mangold,35,0
52fe4ab0c3a368484e161d1d,Directing,0,124633,Director,Goran Paskaljević,43,2
52fe4a9cc3a368484e15d79b,Directing,1,123763,Director,María Luisa Bemberg,35,2
52fe45e8c3a36847f80e14c9,Directing,2,42005,Director,Gazdag Gyula,63,2
52fe47e0c3a368484e0de779,Directing,2,69895,Director,Maurizio Nichetti,36,6
53cc31780e0a265df0002a13,Directing,2,282919,Director,Peter Weck,50,1
52fe4ab0c3a368484e161b6f,Directing,0,124614,Director,Manoel de Oliveira,60,2
546e69a69251415ffb0005ef,Directing,2,100914,Director,Zheng Jun-Li,71,0
52fe4b45c3a36847f81fb3a9,Directing,2,114089,Director,Karim Dridi,60,2
52fe4ab6c3a368484e16301f,Directing,2,124851,Director,Gary Winick,35,2
52fe43e1c3a368484e0037eb,Directing,0,20318,Director,Keith Gordon,37,4
52fe47199251416c9106a05f,Directing,0,39448,Director,Corey Yuen Kwai,44,1
52fe4846c3a36847f815f4ff,Directing,0,52855,Director,Darrell James Roodt,49,2
52fe44aac3a368484e02fd0f,Directing,2,24795,Director,William Dear,39,5
52fe4725c3a36847f8125bb1,Directing,2,47199,Director,Christopher Hampton,47,4
52fe4796c3a36847f813dc6f,Directing,2,49471,Director,Spike Lee,71,1
52fe4915c3a36847f81883c7,Directing,2,56830,Director,Scott Silver,49,10
52fe467a9251416c75079a03,Directing,2,15764,Director,Alan J. Pakula,37,5
52fe4c84c3a368484e1ba957,Directing,2,200383,Director,Nils Gaup,42,5
52fe4a41c3a36847f81c3ca5,Directing,2,104931,Director,Jean-Luc Godard,75,1
52fe4e53c3a368484e21a9ff,Directing,2,218713,Director,Norman Z. McLeod,46,3
52fe4e3ec3a368484e2161c5,Directing,2,217802,Director,Elliott Nugent,36,1
52fe46dfc3a368484e0a87a9,Directing,2,64567,Director,Michel Blanc,62,4
52fe4899c3a36847f817026d,Directing,2,54405,Director,Peter Chelsom,59,1
52fe45699251416c7505585b,Directing,0,13446,Director,Bruce Robinson,52,1
52fe4726c3a368484e0b7741,Directing,2,66034,Director,Larry Bishop,53,3
52fe48dbc3a36847f817d08d,Directing,2,55687,Director,Albert Pyun,41,10
52fe4955c3a36847f8194b87,Directing,2,58102,Director,Terry George,44,2
52fe4372c3a36847f8054df5,Directing,2,2892,Director,Michael Rymer,48,0
52fe4595c3a36847f80cf557,Directing,2,40506,Director,Peter Baldwin,51,0
530e9cbec3a36874750001f9,Directing,2,26306,Director,Steve James,57,1
52fe46d59251416c75085103,Directing,2,16448,Director,Christopher Guest,46,2
52fe4576c3a368484e05c901,Directing,2,28059,Director,Richard Linklater,63,4
52fe4657c3a368484e08b85f,Directing,0,61563,Director,Paul Schrader,54,2
52fe49f59251416c910be749,Directing,0,88423,Director,Rolf de Heer,36,5
52fe47cac3a36847f81484f1,Directing,2,50512,Director,Bernard Rose,38,10
52fe4616c3a368484e07e2c7,Directing,2,60082,Director,Rusty Cundieff,67,0
52fe4986c3a36847f819ee97,Directing,2,59232,Director,Emilio Estevez,64,1
52fe46579251416c910514e5,Directing,2,37567,Director,Eric Schaeffer,46,0
52fe4ab6c3a368484e162e9f,Directing,2,124834,Director,Tony Gatlif,60,5
52fe4af6c3a36847f81eac71,Directing,2,111367,Director,Jean-Luc Godard,51,3
52fe45e2c3a368484e0745d1,Directing,2,29461,Director,"George Tillman, Jr.",48,2
52fe450f9251416c91026201,Directing,2,33344,Director,Mark Waters,47,2
52fe467dc3a368484e0936a7,Directing,0,62422,Director,Jim Jarmusch,64,9
52fe4abbc3a368484e163cfb,Directing,2,125052,Director,Morgan J. Freeman,44,2
52fe44ce9251416c9101d805,Directing,2,32332,Director,Robert Downey Sr.,44,4
52fe44859251416c91013979,Directing,2,31535,Director,Alex Zamm,75,10
52fe46cbc3a36847f81127a3,Directing,2,45609,Director,Iain Softley,73,5
52fe46c9c3a36847f81120dd,Directing,2,45565,Director,Billy Hopkins,54,3
52fe44e9c3a368484e03de51,Directing,2,25994,Director,Alan Rickman,74,0
581cb405c3a3682d2d00c5c8,Directing,2,43911,Director,Bret Michaels,45,1
52fe4685c3a36847f81038f9,Directing,0,44361,Director,Alexander Sokurov,42,2
52fe461b9251416c91049667,Directing,0,36943,Director,Zalman King,59,2
52fe4683c3a36847f8103239,Directing,2,44308,Director,Boaz Yakin,38,2
52fe4689c3a368484e096087,Directing,2,62695,Director,Jonathan Demme,35,4
52fe47089251416c7508ba99,Directing,2,17133,Director,Stephen Gyllenhaal,50,5
52fe47f49251416c750ab08f,Directing,2,19848,Director,Ice Cube,42,4
52fe4313c3a36847f8038a2b,Directing,2,1774,Director,Michael Moore,40,2
52fe44089251416c91002b03,Directing,0,30265,Director,Wayne Wang,63,2
52fe454cc3a368484e0523db,Directing,2,27472,Director,Howard Deutch,41,3
52fe4a149251416c750dcf75,Directing,2,98499,Director,Nick Gomez,64,1
52fe48a89251416c750af0eb,Directing,1,90414,Director,Julie Davis,47,4
52fe45b19251416c7505f409,Directing,2,13907,Director,Nick Broomfield,59,7
52fe449dc3a368484e02ce5d,Directing,2,24560,Director,Larry David,70,2
52fe4932c3a368484e11f5c9,Directing,1,76330,Director,Barbara Kopple,70,2
52fe4796c3a36847f813dc97,Directing,2,49474,Director,Michael Winterbottom,64,9
5526f30b92514171cb00bc04,Directing,2,35161,Director,Thom Fitzgerald,35,4
52fe4414c3a368484e00e4b5,Directing,2,21334,Director,Majid Majidi,57,7
52fe46459251416c9104efab,Directing,2,37410,Director,Hal Hartley,59,1
52fe4735c3a36847f812923b,Directing,2,47481,Director,Manuel Pradal,44,2
52fe4467c3a368484e0212a3,Directing,2,23383,Director,Laurence Olivier,49,2
52fe46559251416c75074ffb,Directing,2,15389,Director,Whit Stillman,37,6
52fe4314c3a36847f8038bd3,Directing,2,1779,Director,Michael Moore,58,3
52fe43e2c3a368484e003dd1,Directing,0,20348,Director,Kevin Reynolds,65,1
52fe4628c3a36847f80eff41,Directing,2,43037,Director,Robert Stevenson,62,0
52fe464b9251416c75073ce1,Directing,2,15300,Director,Kenny Ortega,70,0
52fe496ec3a368484e12af23,Directing,2,77469,Director,Neil LaBute,41,7
52fe45ccc3a36847f80daf45,Directing,2,41469,Director,Brad Anderson,67,2
52fe480ec3a36847f8155fe7,Directing,0,51942,Director,Bill Plympton,47,0
52fe46039251416c7506a13d,Directing,2,14577,Director,Bob Saget,41,3
52fe46ca9251416c9105fd01,Directing,2,38621,Director,William Nicholson,40,9
52fe4575c3a368484e05c54d,Directing,2,28047,Director,Danny Cannon,69,5
52fe4849c3a36847f815fbc1,Directing,2,52907,Director,Alfred Hitchcock,68,10
58c770f192514179f700604b,Directing,1,223318,Director,Troy Byer,42,2
52fe467d9251416c910561eb,Directing,0,37916,Director,Lina Wertmüller,68,0
52fe46ce9251416c75084265,Directing,0,16384,Director,Herbert Ross,60,4
52fe4853c3a36847f8161c1d,Directing,0,53113,Director,Carl Franklin,57,9
52fe457bc3a368484e05df1b,Directing,2,28134,Director,Stanley Tucci,47,1
52fe462cc3a36847f80f0deb,Directing,2,43106,Director,Charles Crichton,71,3
52fe452dc3a368484e04ca3d,Directing,2,27104,Director,Ferzan Ozpetek,73,3
52fe46d0c3a36847f8113901,Directing,2,45712,Director,Sidney Lumet,71,1
52fe4305c3a36847f803462f,Directing,2,1618,Director,Brian Gibson,36,6
52fe4abcc3a368484e164205,Directing,2,125123,Director,Sam Miller,47,1
52fe4d049251416c7512d28d,Directing,1,186705,Director,Marion Vernoux,68,1
52fe454bc3a368484e051eed,Directing,0,27455,Director,Dave Meyers,46,1
52fe4451c3a368484e01c5c7,Directing,2,22826,Director,Roberto Benigni,40,10
52fe48e09251416c9109b347,Directing,1,84198,Director,Kristi Jacobson,54,0
52fe48e09251416c9109b34d,Directing,0,84198,Director,Lori Silverbush,58,0
52fe45e19251416c75065b4b,Directing,2,14283,Director,François Girard,74,5
52fe4485c3a368484e027aff,Directing,2,24137,Director,Oliver Parker,56,1
52fe43629251416c7500e4ef,Directing,0,10376,Director,Giuseppe Tornatore,50,1
52fe46ad9251416c7507fedd,Directing,0,16158,Director,Rick Famuyiwa,62,10
52fe4d7e9251416c91118017,Directing,2,198469,Director,Franco Zeffirelli,64,2
52fe4480c3a368484e026d89,Directing,2,24081,Director,Bob Clark,54,4
52fe4d4d9251416c9111175b,Directing,2,197239,Director,Károly Makk,35,4
52fe48e99251416c750b73c5,Directing,2,91893,Director,Fritz Lang,71,0
5469da46eaeb816b58002e9b,Directing,1,113273,Director,Nanette Burstein,67,4
5469da56eaeb816b58002e9f,Directing,2,113273,Director,Brett Morgen,38,1
52fe4720c3a36847f8124e2b,Directing,0,47144,Director,Goran Paskaljević,38,1
52fe4789c3a36847f813b17d,Directing,0,49184,Director,Ziad Doueiri,44,10
52fe474f9251416c75094c5d,Directing,2,17887,Director,Gene Saks,59,3
52fe4696c3a368484e098e49,Directing,2,62994,Director,Bruce McCulloch,52,0
52fe44939251416c91015891,Directing,2,31650,Director,Ridley Scott,37,1
52fe49e39251416c750d6a35,Directing,2,97537,Director,Thom Fitzgerald,75,0
52fe46ae9251416c7507fffd,Directing,2,16162,Director,Malcolm D. Lee,71,0
52fe44729251416c910110ff,Directing,2,31306,Director,Antonio Banderas,71,2
570c90639251416cee00163a,Directing,0,94857,Director,Philippe Mora,69,3
52fe4982c3a368484e12f31f,Directing,2,77915,Director,Vincente Minnelli,41,8
