DirectorID,Name,Gender,MovieID,Age,Awards
56710,Oliver Parker,2,16420,68,2
33315,Richard Loncraine,2,31174,58,0
16862,Claude Lelouch,2,48750,44,1
120229,Jafar Panahi,2,46785,72,1
117075,Henry Jaglom,2,188588,37,7
14692,Nick Castle,2,47475,50,1
114997,Ángel Muñiz,2,55475,68,2
5281,Spike Lee,2,20649,48,2
3092,Diane Keaton,1,52856,52,2
1723,Walter Hill,2,65796,40,3
56205,Atom Egoyan,2,20156,40,0
148119,Phillip Borsos,0,27985,53,2
129534,Art Clokey,0,43475,65,4
32593,Steven Brill,2,14819,69,1
1203,J. F. Lawton,2,32631,53,0
5065,David Frankel,2,17402,32,3
16395,Gregory Nava,2,38722,51,4
16214,Mario Van Peebles,2,41478,31,0
12804,Peter Yates,2,161495,53,4
1524,Harold Ramis,2,28033,73,4
5306,Lasse Hallström,2,1587,59,1
81727,Darnell Martin,1,48992,67,8
33485,Ron Underwood,2,15128,31,4
35689,Keenen Ivory Wayans,2,26352,50,4
486,Wallace Wolodarsky,2,32502,62,3
4040,Robert Wuhl,2,203119,41,0
77076,Michael Corrente,2,171857,51,0
15106,Thomas Schlamme,2,38129,73,1
78188,Whit Stillman,2,16771,54,0
10781,Michael Apted,2,26203,56,1
86,Bruce Brown,2,24257,71,5
141825,Rusty Cundieff,2,20239,57,4
10967,Steve Kloves,2,18551,45,2
1223,Joel Coen,0,11934,44,5
230059,Matty Rich,2,59930,73,4
8246,Barry Levinson,2,31643,32,1
16939,Michael Tolkin,2,41588,66,0
78012,François Girard,2,20967,36,2
6220,Gurinder Chadha,1,14587,50,3
2406,Mathieu Kassovitz,2,47507,38,1
69488,Nanni Moretti,2,25403,68,3
1066960,María Luisa Bemberg,1,124304,47,0
14614,Joseph Vilsmaier,2,278978,33,3
47773,Paul Mazursky,2,47502,54,4
37852,George Hickenlooper,2,27768,43,3
54767,Mika Kaurismäki,2,88030,38,7
19069,Claude Chabrol,0,185191,55,4
8876,Randal Kleiser,2,33245,31,6
16988,Maurice Pialat,2,47119,49,6
366,James Mangold,2,22621,57,4
1009298,Goran Paskaljević,0,124633,36,3
1066960,María Luisa Bemberg,1,123763,73,0
544331,Gazdag Gyula,2,42005,37,1
225140,Maurizio Nichetti,2,69895,64,2
6258,Peter Weck,2,282919,43,1
81749,Manoel de Oliveira,0,124614,46,1
1112331,Zheng Jun-Li,2,100914,65,7
118513,Karim Dridi,2,114089,69,5
17046,Gary Winick,2,124851,33,4
33054,Keith Gordon,0,20318,31,1
35452,Corey Yuen Kwai,0,39448,35,0
16730,Darrell James Roodt,0,52855,71,0
56506,William Dear,2,24795,33,1
12952,Christopher Hampton,2,47199,58,0
5281,Spike Lee,2,49471,47,0
324,Scott Silver,2,56830,55,6
6349,Alan J. Pakula,2,15764,73,3
22558,Nils Gaup,2,200383,63,1
3776,Jean-Luc Godard,2,104931,39,0
82389,Norman Z. McLeod,2,218713,65,2
89914,Elliott Nugent,2,217802,43,0
21175,Michel Blanc,2,64567,60,6
36804,Peter Chelsom,2,54405,44,1
8966,Bruce Robinson,0,13446,37,1
34721,Larry Bishop,2,66034,43,1
63937,Albert Pyun,2,55687,52,0
2589,Terry George,2,58102,69,2
28741,Michael Rymer,2,2892,50,3
34651,Peter Baldwin,2,40506,45,3
122449,Steve James,2,26306,74,0
13524,Christopher Guest,2,16448,47,2
564,Richard Linklater,2,28059,53,2
1035,Paul Schrader,0,61563,55,5
112674,Rolf de Heer,0,88423,54,1
57851,Bernard Rose,2,50512,74,1
141825,Rusty Cundieff,2,60082,70,2
