GenreID,Name,numMovies,popularity,classification
16,Animation,5331,1,
35,Comedy,30059,2,
10751,Family,6705,1,
12,Adventure,12245,1,
14,Fantasy,8755,1,
10749,Romance,18045,1,
18,Drama,64494,5,
28,Action,19575,2,
80,Crime,12947,1,
53,Thriller,24144,2,
27,Horror,12256,1,
36,History,5827,1,
878,Science Fiction,9255,1,
9648,Mystery,7662,1,
10752,War,4892,1,
10769,Foreign,3737,1,
10402,Music,4074,1,
99,Documentary,7177,1,
37,Western,2438,1,
10770,TV Movie,1901,1,
11176,Carousel Productions,3,1,
11602,Vision View Entertainment,3,1,
29812,Telescene Film Group Productions,3,1,
2883,Aniplex,3,1,
7759,GoHands,3,1,
7760,BROSTA TV,3,1,
7761,Mardock Scramble Production Committee,3,1,
33751,Sentai Filmworks,3,1,
17161,Odyssey Media,3,1,
18012,Pulser Productions,3,1,
18013,Rogue State,3,1,
23822,The Cartel,3,1,
