movieID,title,Released,runtime,Popularity,keywords
862,Toy Story,1995-10-30,81.0,21.946943,"jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life"
8844,Jumanji,1995-12-15,104.0,17.015539,
15602,Grumpier Old Men,1995-12-22,101.0,11.7129,"fishing, best friend, duringcreditsstinger, old men"
31357,Waiting to Exhale,1995-12-22,127.0,3.859495,"based on novel, interracial relationship, single mother, divorce, chick flick"
11862,Father of the Bride Part II,1995-02-10,106.0,8.387519,"baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist"
949,Heat,1995-12-15,170.0,17.924927,"robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic"
11860,Sabrina,1995-12-15,127.0,6.677277,"paris, brother brother relationship, chauffeur, long island, fusion, millionaire"
45325,Tom and Huck,1995-12-22,97.0,2.561161,
9091,Sudden Death,1995-12-22,106.0,5.23158,"terrorist, hostage, explosive, vice president"
710,GoldenEye,1995-11-16,130.0,14.686036,"cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army"
9087,The American President,1995-11-17,106.0,6.318445,"white house, usa president, new love, widower, wildlife conservation"
12110,Dracula: Dead and Loving It,1995-12-22,88.0,5.430331,"dracula, spoof"
21032,Balto,1995-12-22,78.0,12.140733,"wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake"
10858,Nixon,1995-12-22,192.0,5.092,"usa president, presidential election, watergate scandal, biography, government, historical figure"
1408,Cutthroat Island,1995-12-22,119.0,7.284477,"exotic island, treasure, map, ship, scalp, pirate"
524,Casino,1995-11-22,178.0,10.137389,"poker, drug abuse, 1970s, overdose, illegal prostitution"
4584,Sense and Sensibility,1995-12-13,136.0,10.673167,"bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum"
5,Four Rooms,1995-12-09,98.0,9.026586,
9273,Ace Ventura: When Nature Calls,1995-11-10,90.0,8.205448,"africa, indigenous, human animal relationship, bat"
11517,Money Train,1995-11-21,103.0,7.337906,"brother brother relationship, subway, new york city, new york subway, train robbery"
8012,Get Shorty,1995-10-20,105.0,12.669608,"gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con"
1710,Copycat,1995-10-27,124.0,10.701801,"police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness"
9691,Assassins,1995-10-06,132.0,11.065939,"competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan"
12665,Powder,1995-10-27,111.0,12.133094,"dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception"
451,Leaving Las Vegas,1995-10-27,112.0,10.332025,"individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide"
16420,Othello,1995-12-15,123.0,1.845899,"shakespeare, jealousy, friends, moor"
9263,Now and Then,1995-10-20,100.0,8.681325,"1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director"
17015,Persuasion,1995-09-27,104.0,2.228434,"captain, napoleonic wars, old flame, admiral"
902,The City of Lost Children,1995-05-16,108.0,9.822423,"clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood"
37557,Shanghai Triad,1995-04-30,108.0,1.100915,"servant, cabaret, shanghai, diva, uncle, mistress, umbrella"
9909,Dangerous Minds,1995-08-11,99.0,9.481338,"rap music, karate, high school, naval officer, teacher, amusement park"
63,Twelve Monkeys,1995-12-29,129.0,12.297305,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean"
78802,Wings of Courage,1996-09-18,50.0,0.745542,
9598,Babe,1995-07-18,89.0,14.404764,"sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig"
47018,Carrington,1995-11-08,121.0,1.493361,"england, painter, conscientious objector, independent film, soldier"
687,Dead Man Walking,1995-12-29,122.0,6.891317,"prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness"
139405,Across the Sea of Time,1995-10-20,51.0,0.114469,
33689,It Takes Two,1995-11-17,101.0,7.777735,"orphan, identical twin"
9603,Clueless,1995-07-19,97.0,9.882383,"puberty, high school, make a match, spoiled child, gay interest, conflict, woman director"
34615,"Cry, the Beloved Country",1995-12-15,106.0,0.894647,south africa
31174,Richard III,1995-12-29,104.0,4.561387,"england, shakespeare, kidnapping, murder, king"
11443,Dead Presidents,1995-10-06,119.0,9.87957,"money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car"
35196,Restoration,1995-12-29,117.0,10.979269,"jealousy, medicine, fountain, court, wealth, spaniel, gloves"
9312,Mortal Kombat,1995-08-18,101.0,10.870138,"martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat"
577,To Die For,1995-05-20,106.0,10.448481,"adultery, winter, obsession, television, new hampshire, narcissistic personality disorder"
11861,How To Make An American Quilt,1995-10-06,116.0,4.485958,"wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director"
